feature,importance,tipo,seleccionada,umbral_falsa_max
mrentabilidad_annual_lag2,0.0010385161649410478,real,False,0.004158182017433896
Visa_status_delta1,0.0010184482140180903,real,False,0.004158182017433896
falsa_11,0.0010088349105877926,falsa,False,0.004158182017433896
ctarjeta_master_delta2,0.0010079160580448575,real,False,0.004158182017433896
cmobile_app_trx_delta2,0.001001085272662734,real,False,0.004158182017433896
Visa_madelantodolares_lag1,0.0009895320012875248,real,False,0.004158182017433896
ccuenta_debitos_automaticos_lag2,0.0009760976682929566,real,False,0.004158182017433896
Master_mlimitecompra_lag2,0.0009701646005453718,real,False,0.004158182017433896
mcuenta_corriente_adicional_percentil,0.000968597598413129,real,False,0.004158182017433896
Master_msaldopesos_delta2,0.0009467233537757635,real,False,0.004158182017433896
Visa_cconsumos_lag2,0.0009451630816552696,real,False,0.004158182017433896
mttarjeta_visa_debitos_automaticos,0.0009434071933807019,real,False,0.004158182017433896
ctarjeta_visa_transacciones_delta2,0.0009299526210481333,real,False,0.004158182017433896
falsa_9,0.0009266070606004674,falsa,False,0.004158182017433896
mttarjeta_visa_debitos_automaticos_lag1,0.0009227630306568111,real,False,0.004158182017433896
Master_delinquency_delta1,0.0008827748579601169,real,False,0.004158182017433896
Visa_mconsumospesos_delta1,0.0008794493698914016,real,False,0.004158182017433896
catm_trx_lag2,0.0008691367760351837,real,False,0.004158182017433896
Visa_mpagosdolares_delta1,0.0008531779956675697,real,False,0.004158182017433896
Visa_mlimitecompra_lag1,0.0008485883028413424,real,False,0.004158182017433896
mtransferencias_emitidas,0.0008434466993548549,real,False,0.004158182017433896
Master_mlimitecompra_delta1,0.0008312162437568374,real,False,0.004158182017433896
mcaja_ahorro_dolares,0.0008309491838157156,real,False,0.004158182017433896
catm_trx_lag1,0.0008066684610892774,real,False,0.004158182017433896
Master_fultimo_cierre_delta1,0.0007866260360967568,real,False,0.004158182017433896
Visa_madelantopesos_delta1,0.0007859215121040167,real,False,0.004158182017433896
mcomisiones,0.000771882542251069,real,False,0.004158182017433896
ctarjeta_master_lag2,0.0007650468068840779,real,False,0.004158182017433896
Visa_madelantodolares_delta1,0.0007639169932891856,real,False,0.004158182017433896
ctarjeta_debito_transacciones_delta1,0.000757550043620714,real,False,0.004158182017433896
mextraccion_autoservicio,0.0007562377798487266,real,False,0.004158182017433896
Master_mpagominimo_lag2,0.0007557165999689524,real,False,0.004158182017433896
Visa_mpagominimo_lag2,0.000751026128340023,real,False,0.004158182017433896
mtarjeta_visa_consumo_delta2,0.0007431298897602012,real,False,0.004158182017433896
chomebanking_transacciones_delta2,0.0007415570897390211,real,False,0.004158182017433896
mcuenta_debitos_automaticos,0.0007053708652031893,real,False,0.004158182017433896
Visa_mlimitecompra_lag2,0.0007002217127803566,real,False,0.004158182017433896
cextraccion_autoservicio_delta1,0.0006955053771341472,real,False,0.004158182017433896
ccomisiones_mantenimiento,0.0006940213521594525,real,False,0.004158182017433896
ccomisiones_mantenimiento_lag1,0.000686430123215278,real,False,0.004158182017433896
Visa_mpagominimo_lag1,0.0006830375199684352,real,False,0.004158182017433896
active_quarter_lag1,0.0006797418380306664,real,False,0.004158182017433896
Master_fultimo_cierre_delta2,0.0006652540091627292,real,False,0.004158182017433896
ccallcenter_transacciones_lag2,0.0006644697398840763,real,False,0.004158182017433896
mtransferencias_recibidas_delta2,0.0006579151697590843,real,False,0.004158182017433896
Master_mpagado,0.0006567468215030726,real,False,0.004158182017433896
cmobile_app_trx,0.0006543879067370481,real,False,0.004158182017433896
mautoservicio_delta2,0.0006409228166655279,real,False,0.004158182017433896
mcomisiones_mantenimiento_lag1,0.0006398045386806093,real,False,0.004158182017433896
Master_msaldodolares,0.000638372241735918,real,False,0.004158182017433896
cmobile_app_trx_delta1,0.000628568201453421,real,False,0.004158182017433896
Master_mpagospesos,0.0006231524351241489,real,False,0.004158182017433896
Visa_mpagospesos_delta2,0.0006218659820740814,real,False,0.004158182017433896
mextraccion_autoservicio_lag1,0.000614356869381978,real,False,0.004158182017433896
Master_mpagominimo_lag1,0.0006079087831492485,real,False,0.004158182017433896
tmobile_app,0.0006042673549592243,real,False,0.004158182017433896
mtransferencias_recibidas_delta1,0.0005936204551415632,real,False,0.004158182017433896
cdescubierto_preacordado_lag1,0.0005925877561978808,real,False,0.004158182017433896
internet_lag2,0.0005800001476322104,real,False,0.004158182017433896
Visa_mfinanciacion_limite_delta1,0.0005610938684638428,real,False,0.004158182017433896
Master_delinquency_lag1,0.0005600897259532647,real,False,0.004158182017433896
mtarjeta_visa_consumo_lag2,0.0005575132853272744,real,False,0.004158182017433896
mplazo_fijo_pesos_percentil,0.0005562061158796573,real,False,0.004158182017433896
Master_mfinanciacion_limite_delta2,0.0005549933300962594,real,False,0.004158182017433896
ctarjeta_visa_debitos_automaticos,0.0005479250972007577,real,False,0.004158182017433896
ccomisiones_mantenimiento_lag2,0.0005188453360537933,real,False,0.004158182017433896
cproductos_lag1,0.0005181546560887623,real,False,0.004158182017433896
ccomisiones_mantenimiento_delta2,0.0005156768771134551,real,False,0.004158182017433896
Visa_mpagado_lag1,0.000514404467268717,real,False,0.004158182017433896
Master_fechaalta_delta2,0.000513915983799727,real,False,0.004158182017433896
matm_other_delta2,0.0005124251663992398,real,False,0.004158182017433896
mpayroll_delta2,0.0005108783661700966,real,False,0.004158182017433896
Visa_Fvencimiento_lag1,0.0005002134260228958,real,False,0.004158182017433896
Master_msaldodolares_delta1,0.0004969872452574042,real,False,0.004158182017433896
cmobile_app_trx_lag1,0.0004926514388936963,real,False,0.004158182017433896
falsa_15,0.000488994845282631,falsa,False,0.004158182017433896
Visa_mpagominimo_delta1,0.0004871363661575587,real,False,0.004158182017433896
cproductos_delta1,0.00048462149792260795,real,False,0.004158182017433896
mcaja_ahorro_dolares_delta2,0.00046702086592852714,real,False,0.004158182017433896
Master_mpagominimo_delta1,0.0004606661084192338,real,False,0.004158182017433896
Master_Fvencimiento_delta2,0.0004483672101062545,real,False,0.004158182017433896
ccomisiones_otras_delta2,0.00043724652222452905,real,False,0.004158182017433896
Master_mpagado_delta2,0.00042701317247802607,real,False,0.004158182017433896
Visa_msaldodolares_delta1,0.0004261651346694784,real,False,0.004158182017433896
Visa_fechaalta_lag2,0.00042128763688949655,real,False,0.004158182017433896
Master_msaldodolares_lag1,0.00040644153771573615,real,False,0.004158182017433896
mcaja_ahorro_dolares_lag2,0.0004028448336423079,real,False,0.004158182017433896
mprestamos_personales_lag2,0.00039408789324080874,real,False,0.004158182017433896
chomebanking_transacciones_lag2,0.0003934366430798855,real,False,0.004158182017433896
